"billing_country","customer_id","amount_spent","rowno"
"Czech Republic",5,"144.54000000000002","1"
"Ireland",46,"114.83999999999997","1"
"India",58,"111.86999999999999","1"
"Brazil",1,"108.89999999999998","1"
"Portugal",34,"102.96000000000001","1"
"France",42,"99.99","1"
"Canada",3,"99.99","1"
"Spain",50,"98.01","1"
"USA",17,"98.01","1"
"United Kingdom",53,"98.01","1"
"Chile",57,"97.02000000000001","1"
"Germany",37,"94.05000000000001","1"
"Australia",55,"81.18","1"
"Finland",44,"79.2","1"
"Hungary",45,"78.21","1"
"Poland",49,"76.22999999999999","1"
"Sweden",51,"75.24","1"
"Norway",4,"72.27000000000001","1"
"Austria",7,"69.3","1"
"Netherlands",48,"65.34","1"
"Belgium",8,"60.38999999999999","1"
"Italy",47,"50.49","1"
"Argentina",56,"39.6","1"
"Denmark",9,"37.61999999999999","1"
